Color	Name	Description	Minimum	Maximum
8388607	"0"	""	0.000000	0.000000
5963756	"<25"	""	0.000000	25.000000
3604442	"<50"	""	25.000000	50.000000
1245128	"<75"	""	50.000000	75.000000
62883	"<100"	""	75.000000	100.000000
58221	"<125"	""	100.000000	125.000000
53558	"<150"	""	125.000000	150.000000
48896	"<175"	""	150.000000	175.000000
4762624	"<200"	""	175.000000	200.000000
9542144	"<250"	""	200.000000	250.000000
14321664	"<300"	""	250.000000	300.000000
15494144	"<350"	""	300.000000	350.000000
13125632	"<400"	""	350.000000	400.000000
10691584	"<500"	""	400.000000	500.000000
8323072	">500"	""	500.000000	10000.000000
