Color	Name	Description	Minimum	Maximum
8257600	"< -8000"	""	-12000.000000	-8000.000000
10628864	"< -6000"	""	-8000.000000	-6000.000000
12338944	"< -4000"	""	-6000.000000	-4000.000000
14049280	"< -3000"	""	-4000.000000	-3000.000000
14448896	"< -2000"	""	-3000.000000	-2000.000000
14914048	"< -1000"	""	-2000.000000	-1000.000000
15313665	"< -500"	""	-1000.000000	-500.000000
15778818	"< -250"	""	-500.000000	-250.000000
16243968	"< -100"	""	-250.000000	-100.000000
16644430	"< -50"	""	-100.000000	-50.000000
16777151	"< 0"	""	-50.000000	0.000000
5145088	"> 0"	""	0.000000	50.000000
4302128	"> 50"	""	50.000000	100.000000
3459425	"> 100"	""	100.000000	200.000000
2614930	"> 200"	""	200.000000	400.000000
1768899	"> 400"	""	400.000000	800.000000
5569533	"> 800"	""	800.000000	1200.000000
52964	"> 1200"	""	1200.000000	2000.000000
172747	"> 2000"	""	2000.000000	3000.000000
95666	"> 3000"	""	3000.000000	4000.000000
24966	"> 4000"	""	4000.000000	5000.000000
21094	"> 5000"	""	5000.000000	10000.000000
