TEXT	TRANSLATION
"   Actual Point Count:\t\t%d"	"   Contagem de ponto real:\t\t%d"
"   Header Point Count:\t\t%d"	"   Contagem de ponto de cabeçalho:\t\t%d"
"  +-> flagged as keypoints:\t%d"	"  +-> sinalizado como pontos chave:\t%d"
"  +-> flagged as synthetic:\t%d"	"  +-> sinalizado como sintética:\t%d"
"  +-> flagged as withheld:\t%d"	"  +-> sinalizado como retidos:\t%d"
"  Actual number of points by return is different from header (actual, header):"	"  Número atual de pontos de retorno é diferente do cabeçalho (real, cabeçalho):"
"  Bounding Box:\t\t\t%.2f, %.2f, %.2f, %.2f"	"  Caixa delimitadora:\t\t\t%.2f, %.2f, %.2f, %.2f"
"  Classification:\t\t\t%d, %d"	"  Classificação:\t\t\t%d, %d"
"  File Creation Day/Year:\t\t%d/%d"	"  Criação do arquivo Dia/Ano:\t\t%d/%d"
"  File Name:\t\t\t%s"	"  Nome do arquivo:\t\t\t%s"
"  Flightline Edge:\t\t\t%d, %d"	"  Borda Flightline:\t\t\t%d, %d"
"  Generating Software:\t\t'%s'"	"  Gerando Software:\t\t'%s'"
"  Header Size:\t\t\t%d"	"  Tamanho do cabeçalho:\t\t\t%d"
"  Header Summary"	"  Resumo do cabeçalho"
"  Intensity:\t\t\t%d, %d"	"  Intensidade:\t\t\t%d, %d"
"  Max X Y Z:\t\t\t%.6f  %.6f  %.6f"	"  Máximo X Y Z:\t\t\t%.6f  %.6f  %.6f"
"  Maximum Color:\t\t%d %d %d"	"  Cor máxima:\t\t%d %d %d"
"  Min X Y Z:\t\t\t%.6f  %.6f  %.6f"	"  Mínimo X Y Z:\t\t\t%.6f  %.6f  %.6f"
"  Minimum Color:\t\t\t%d %d %d"	"  Cor mínima:\t\t\t%d %d %d"
"  Minimum and Maximum Attributes (min, max)"	"  Atributos mínimo e máximo (min, max)"
"  Number Var. Length Records:\t%d"	"  Número de variáveis de comprimento de registro:\t%d"
"  Number of Point Records:\t%d"	"  Número de Ponto de Registros:\t%d"
"  Number of Points by Return"	"  Número de pontos para retorno"
"  Number of Points by Return:\t%d  %d  %d  %d  %d"	"  Número de pontos para retorno:\t%d  %d  %d  %d  %d"
"  Number of Returns by Pulse"	"  Número de retornos por pulso"
"  Offset X Y Z:\t\t\t%.6f  %.6f  %.6f"	""
"  Offset to Point Data:\t\t%d"	"  Deslocamento para dados de ponto:\t\t%d"
"  Point Classification Histogram"	"  Classificação de pontos do histograma"
"  Point Classifications"	"  Classificações de pontos"
"  Point Data Format:\t\t%d"	"  Formato de dados de pontos:\t\t%d"
"  Point Data Record Length:\t%d"	"  Comprimento dos dados de pontos para registro:\t%d"
"  Point Inspection Summary"	"  Inspeção de índice de pontos"
"  Point Source Id:\t\t%d, %d"	"  Id do ponto fonte::\t\t%d, %d"
"  Project ID/GUID:\t\t'%s'"	"  ID do projeto/GUID:\t\t'%s'"
"  Reserved:\t\t\t%d"	"  Reservado:\t\t\t%d"
"  Return Count:\t\t\t%d, %d"	"  Contagem de retornos:\t\t\t%d, %d"
"  Return Number:\t\t%d, %d"	"  Número de retorno:\t\t%d, %d"
"  Scale Factor X Y Z:\t\t%.6g  %.6g  %.6g"	"  Fator de escala X Y Z:\t\t%.6g  %.6g  %.6g"
"  Scan Angle Rank:\t\t%d, %d"	"  Ângulo de Varredura de Classificação:\t\t%d, %d"
"  Scan Direction Flag:\t\t%d, %d"	"  Ângulo de Varredura de Classificação:\t\t%d, %d"
"  Source ID:\t\t\t%d"	"  ID Fonte:\t\t\t%d"
"  Spatial Reference:\t\t%s"	"  Referência espacial:\t\t%s"
"  System Identifier:\t\t'%s'"	"  Sistema de identificação:\t\t'%s'"
"  Time:\t\t\t\t%.6f, %.6f"	"  Tempo:\t\t\t\t%.6f, %.6f"
"  Total Points:\t%ld"	"  Total de pontos:\t%ld"
"  Total Pulses:\t%ld"	"  Total de pulsos/repetições:\t%ld"
"  Version:\t\t\t%d.%d"	"  Versão:\t\t\t%d.%d"
"%.0f points from %d dataset(s) written to output grid %s."	"%.0f de pontos %d dataset(s) escritos na grade de saída %s."
"%d points from %d dataset(s) written to output point cloud %s."	"%d pontos de %d escritos no dataset(s) de pontos da saída na núvem %s."
"%d points from %s written to output %s."	"%d pontos de %s escritos na saída %s."
"%d points out of %d extracted."	"%d pontos de %d extraídos."
"%d points out of %d reclassified."	"%d pontos de %d reclassificados."
"%d tiles created."	"%d mozaicos criados"
"%d. %s"	"%d. %s"
"%s_CORRPOINTS"	"%s_CORRPOINTS"
"%s_DISP_VEC"	"%s_DISP_VEC"
"%s_colorised"	"%s_colorised"
"%s_merged"	"%s_merged"
"%s_stats"	"%s_stats"
"(Tw) wetness decline time constant"	"(Tw) declínio de umidade em tempo constante"
"(Tw) wetness decline time constant [lower bound]"	"(Tw) declínio de umidade em tempo constante [limite inferior]"
