TEXT	TRANSLATION
"  RDB2 found attribute %s"	""
"%.0f points from %lld dataset(s) written to output grid %s."	""
"%lld points from %lld dataset(s) written to output point cloud %s."	""
"%lld points from %s written to output %s."	""
"(Press cancel if you decide not to add the layer at all!)"	""
"(Tw) wetness decline time constant"	""
"(Tw) wetness decline time constant [lower bound]"	"(Tw) Feuchtigkeitsrückgang zeitkonstant [untere Grenze]"
"(Tw) wetness decline time constant [upper bound]"	"(Tw) Feuchtigkeitsrückgang zeitkonstant [obere Grenze]"
"(a)"	""
"(a) [lower bound]"	"(a) [untere Grenze]"
"(a) [upper bound]"	"(a) [obere Grenze]"
"(b)"	""
"(b) [lower bound]"	"(b) [untere Grenze]"
"(b) [upper bound]"	"(b) [obere Grenze]"
"(c) Parameter [lower bound]"	"(c) Parameter [untere Grenze]"
"(c) Parameter [upper bound]"	"(c) Parameter [obere Grenz]"
"(f) Temperature Modulation Factor [lower bound]"	"(f) Temperaturregulierungs Faktor [untere Grenze]"
"(f) Temperature Modulation Factor [upper bound]"	"(f) Temperaturregulierungs Faktor [obere Grenze]"
")"	""
"** Error : Wrong outlet point selected **"	""
"** Warning : Number of events might not be representative.\nMinimum number recommended: "	"**Warnung : Anzahl der Ereignisse ist nicht repräsentativ. \nMinimale Anzahl erforderlich:"
"** Warning : Outlet point was modified **"	""
"...anteilig aus Rasterzellen der Teileinzugegebiete"	""
"...anteilig aus den Flussrasterzellen"	""
"...anteilig aus den Hauptgerinnerasterzellen"	""
"...genau den entsprechenden Wert aus der jeweiligen Rasterzelle entnehmen"	""
"0"	""
"0 - 1"	""
"0 is horizontal, 90 is vertical."	"0 ist horizontal, 90 ist vertikal"
"0-50 mm/day"	""
"01: My first tool"	""
"02: Pixel by pixel operations with two grids"	"02: Pixel für Pixel Operationen mit zwei Rasterdatensätzen"
"03: Direct neighbours"	"03: Direkte Nachbarn"
"04: Direct neighbours - more..."	"04: Direkte Nachbarn- mehr..."
"05: Direct neighbours - slope and aspect"	""
"06: Extended neighbourhoods"	""
"07: Extended neighbourhoods - catchment areas (trace flow)"	""
"08: Extended neighbourhoods - catchment areas (parallel)"	"08: Erweiterte Nachbarschaft - Einzugsgebiet (parallel)"
"09: Extended neighbourhoods - catchment areas (recursive)"	"09: Erweiterte Nachbarschaft - rekursiv"
"1"	""
"1 / cell size (pseudo specific catchment area)"	""
"1 / cell size (specific catchment area)"	"1 / Zellgröße (spezifisches Einzugsgebiet)"
"1 arc-second"	"1 Bogensekunde"
"1 byte signed"	""
"1 byte unsigned"	""
"1-parameter friction model (Scheidegger 1975)"	""
"1.) Stop adding vertices, 2.) Clear and restart adding vertices"	""
"1.0"	""
"10 parameter 3rd order polynom (Florinsky 2009)"	""
"10 parameter 3rd order polynom (Haralick 1983)"	""
"100-200 mm/day"	""
"10: Dynamic Simulation - Life"	"10: Dynamische Simulation - Lebensdauer"
"11: Dynamic Simulation - Soil Nitrogen Dynamics"	"11: Dynamische Simulation - Stickstoffdynamik im Boden"
"12: First steps with shapes"	"12: Erste Schritte mit Vektordaten"
"13: Reprojecting a shapes layer"	"13: Neuprojektierung einer Vektorebene"
"14: Vectorising channel lines"	""
"16 bit"	""
"16 bit signed integer"	"16 bit Ganzzahl mit Vorzeichen"
