PROJ4	DIR	WKT	DESC
aea	 	Albers_Conic_Equal_Area	Albers Equal Area
aea	<	Albers	[ESRI] Albers Equal Area
aeqd	 	Azimuthal_Equidistant	Azimuthal Equidistant
airy	 	Airy	*) Airy
aitoff	 	Aitoff	[ESRI] Aitoff
alsk	 	Mod_Stererographics_of_Alaska	*) Mod. Stererographics of Alaska
apian	 	Apian_Globular_I	*) Apian Globular I
august	 	August_Epicycloidal	*) August Epicycloidal
bacon	 	Bacon_Globular	*) Bacon Globular
bipc	 	Bipolar_conic_of_western_hemisphere	*) Bipolar conic of western hemisphere
boggs	 	Boggs_Eumorphic	*) Boggs Eumorphic
bonne	 	Bonne	Bonne (Werner lat_1=90)
cass	 	Cassini_Soldner	Cassini
cass	<	Cassini	[ESRI] Cassini
cc	 	Central_Cylindrical	*) Central Cylindrical
cea	 	Cylindrical_Equal_Area	Equal Area Cylindrical, alias: Lambert Cyl.Eq.A., Normal Authalic Cyl. (FME), Behrmann (SP=30), Gall Orthogr. (SP=45)
cea	<	Behrmann	[ESRI] Behrmann (standard parallel = 30)
chamb	 	Chamberlin_Trimetric	*) Chamberlin Trimetric
collg	 	Collignon	*) Collignon
crast	 	Craster_Parabolic	[ESRI] Craster Parabolic (Putnins P4)
denoy	 	Denoyer_Semi_Elliptical	*) Denoyer Semi-Elliptical
eck1	 	Eckert_I	*) Eckert I
eck2	 	Eckert_II	*) Eckert II
eck3	 	Eckert_III	*) Eckert III
eck4	 	Eckert_IV	Eckert IV
eck5	 	Eckert_V	*) Eckert V
eck6	 	Eckert_VI	Eckert VI
eqc	 	Equirectangular	Equidistant Cylindrical (Plate Caree)
eqc	<	Equidistant_Cylindrical	[ESRI] Equidistant Cylindrical (Plate Caree)
eqc	<	Plate_Carree	[ESRI] Equidistant Cylindrical (Plate Caree)
eqdc	 	Equidistant_Conic	*) Equidistant Conic
euler	 	Euler	*) Euler
fahey	 	Fahey	*) Fahey
fouc	 	Foucault	*) Foucaut
fouc_s	 	Foucault_Sinusoidal	*) Foucaut Sinusoidal
gall	 	Gall_Stereographic	Gall (Gall Stereographic)
geocent	 	Geocentric	*) Geocentric
geos	 	GEOS	Geostationary Satellite View
gins8	 	Ginsburg_VIII	*) Ginsburg VIII (TsNIIGAiK)
gn_sinu	 	General_Sinusoidal_Series	*) General Sinusoidal Series
gnom	 	Gnomonic	Gnomonic
goode	 	Goode_Homolosine	*) Goode Homolosine
gs48	 	Mod_Stererographics_48	*) Mod. Stererographics of 48 U.S.
gs50	 	Mod_Stererographics_50	*) Mod. Stererographics of 50 U.S.
hammer	 	Hammer_Eckert_Greifendorff	*) Hammer & Eckert-Greifendorff
hatano	 	Hatano_Asymmetrical_Equal_Area	*) Hatano Asymmetrical Equal Area
imw_p	 	Internation_Map_of_the_World_Polyconic	*) Internation Map of the World Polyconic
kav5	 	Kavraisky_V	*) Kavraisky V
kav7	 	Kavraisky_VII	*) Kavraisky VII
krovak	 	Krovak	Krovak
labrd	 	Laborde_Oblique_Mercator	*) Laborde
laea	 	Lambert_Azimuthal_Equal_Area	Lambert Azimuthal Equal Area
lagrng	 	Lagrange	*) Lagrange
larr	 	Larrivee	*) Larrivee
lask	 	Laskowski	*) Laskowski
lcc	<	Lambert_Conformal_Conic_1SP	Lambert Conformal Conic (1 standard parallel)
lcc	<	Lambert_Conformal_Conic_2SP	Lambert Conformal Conic (2 standard parallels)
lcc	 	Lambert_Conformal_Conic	Lambert Conformal Conic
lcca	 	Lambert_Conformal_Conic_Alternative	*) Lambert Conformal Conic Alternative
leac	 	Lambert_Equal_Area_Conic	*) Lambert Equal Area Conic
lee_os	 	Lee_Oblated_Stereographic	*) Lee Oblated Stereographic
loxim	 	Loximuthal	[ESRI] Loximuthal
lsat	 	Space_oblique_for_LANDSAT	*) Space oblique for LANDSAT
mbt_s	 	McBryde_Thomas_Flat_Polar_Sine	*) McBryde-Thomas Flat-Polar Sine
mbt_fps	 	McBryde_Thomas_Flat_Polar_Sine_2	*) McBryde-Thomas Flat-Pole Sine (No. 2)
mbtfpp	 	McBryde_Thomas_Flat_Polar_Parabolic	*) McBride-Thomas Flat-Polar Parabolic
mbtfpq	 	Flat_Polar_Quartic	[ESRI] McBryde-Thomas Flat-Polar Quartic
