# ntimesteps:	Number of timesteps
# dt:		Time increment(timestep)
#									    [h]
# R:		Rainfall
#								         [m/dt]
# Ep:		Potential evapotranspiration
#								         [m/dt]
#

# ntimesteps  dt
         950   1

#     R        Ep
      0  6.19e-05
      0  6.47e-05
  0.001  6.19e-05
  0.001   5.6e-05
  0.001  4.57e-05
 0.0005  3.23e-05
 0.0005  1.56e-05
      0         0
 0.0005         0
 0.0005         0
      0         0
      0         0
  0.001         0
 0.0005         0
 0.0005         0
  0.001         0
      0         0
      0         0
      0         0
      0         0
      0   1.8e-05
      0  3.48e-05
      0  4.92e-05
  0.003  6.02e-05
  0.002  6.66e-05
 0.0055  6.96e-05
  0.006  6.66e-05
  0.001  6.02e-05
 0.0025  4.92e-05
      0  3.48e-05
      0  1.68e-05
  0.001         0
 0.0005         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0  3.38e-05
  0.001  6.52e-05
      0  9.23e-05
 0.0005  0.000113
      0  0.000125
  0.001 0.0001305
 0.0025  0.000125
  0.003  0.000113
 0.0025  9.23e-05
  0.003  6.52e-05
 0.0025  3.16e-05
  0.002         0
  0.001         0
  0.001         0
      0         0
 0.0005         0
 0.0005         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0  4.14e-05
      0  7.98e-05
      0 0.0001129
      0 0.0001383
      0  0.000153
      0 0.0001598
      0  0.000153
      0 0.0001383
      0 0.0001129
      0  7.98e-05
      0  3.87e-05
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0  1.91e-05
      0  3.68e-05
      0  5.21e-05
      0  6.38e-05
 0.0005  7.06e-05
 0.0005  7.37e-05
      0  7.06e-05
      0  6.38e-05
      0  5.21e-05
      0  3.68e-05
      0  1.78e-05
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
 0.0005         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0  1.02e-05
      0  1.98e-05
      0   2.8e-05
      0  3.42e-05
      0  3.79e-05
      0  3.95e-05
      0  3.79e-05
      0  3.42e-05
      0   2.8e-05
      0  1.98e-05
      0   9.6e-06
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
 0.0005  4.14e-05
      0  7.99e-05
      0  0.000113
      0 0.0001384
      0 0.0001531
      0 0.0001599
      0 0.0001531
      0 0.0001384
      0  0.000113
      0  7.99e-05
      0  3.87e-05
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0  1.78e-05
      0  3.44e-05
      0  4.86e-05
      0  5.95e-05
      0  6.59e-05
      0  6.88e-05
      0  6.59e-05
      0  5.95e-05
      0  4.86e-05
      0  3.44e-05
      0  1.66e-05
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0  4.56e-05
 0.0005  8.79e-05
      0 0.0001244
      0 0.0001523
      0 0.0001685
      0 0.0001759
      0 0.0001685
      0 0.0001523
      0 0.0001244
      0  8.79e-05
      0  4.26e-05
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0   4.9e-05
      0  9.46e-05
      0 0.0001338
      0 0.0001638
      0 0.0001813
      0 0.0001892
      0 0.0001813
      0 0.0001638
      0 0.0001338
      0  9.46e-05
      0  4.58e-05
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0  5.17e-05
      0  9.98e-05
      0 0.0001412
      0 0.0001729
 0.0005 0.0001913
  0.001 0.0001997
      0 0.0001913
      0 0.0001729
      0 0.0001412
      0  9.98e-05
      0  4.83e-05
      0         0
      0         0
      0         0
      0         0
      0         0
  0.001         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0  7.52e-05
  0.001 0.0001451
      0 0.0002052
      0 0.0002513
      0  0.000278
      0 0.0002903
      0  0.000278
      0 0.0002513
      0 0.0002052
      0 0.0001451
      0  7.02e-05
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
  0.001         0
 0.0005         0
 0.0025  2.44e-05
  0.006   4.7e-05
  0.004  6.65e-05
 0.0015  8.14e-05
      0  9.01e-05
      0   9.4e-05
 0.0005  9.01e-05
      0  8.14e-05
      0  6.65e-05
 0.0015   4.7e-05
  0.001  2.28e-05
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0  2.88e-05
 0.0005  5.55e-05
      0  7.85e-05
      0  9.62e-05
      0 0.0001064
      0 0.0001111
      0 0.0001064
      0  9.62e-05
 0.0005  7.85e-05
  0.001  5.55e-05
 0.0005  2.69e-05
      0         0
      0         0
  0.001         0
  0.001         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0  1.12e-05
      0  2.16e-05
      0  3.06e-05
      0  3.74e-05
      0  4.14e-05
 0.0005  4.32e-05
 0.0005  4.14e-05
 0.0015  3.74e-05
 0.0015  3.06e-05
  0.001  2.16e-05
 0.0005  1.05e-05
  0.001         0
 0.0005         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
      0         0
 0.0005         0
      0         0
      0         0
      0         0
      0  7.23e-05
      0 0.0001396
      0 0.0001975
      0 0.0002418
      0 0.0002675
      0 0.0002793
      0 0.0002675
      0 0.0002418
      0 0.0001975
      0 0.0001396
      0  6.76e-05
      0         0
      0         0
      0         0
      0         0
      0         0
 0.0005         0
 0.0075         0
 0.0045         0
 0.0025         0
