TEXT	TRANSLATION
(0.0 < x < 1.0)	
(Selected)	(Selektiert)
(Tw) wetness decline time constant	
(Tw) wetness decline time constant [lower bound]	
(Tw) wetness decline time constant [upper bound]	
(a)	
(a) [lower bound]	
(a) [upper bound]	
(b)	
(b) [lower bound]	
(b) [upper bound]	
(c) Parameter [lower bound]	
(c) Parameter [upper bound]	
(f) Temperature Modulation Factor [lower bound]	
(f) Temperature Modulation Factor [upper bound]	
(optional) Linear Flow Threshold Grid	
)	
*	
** Error : Wrong outlet point selected **	
** Warning : Number of events might not be representative.\nMinimum number recommended: 	
** Warning : Outlet point was modified **	
,	
--- no table available ---	
--- not available ---	
0	
0 - 1	
0 - 1.0	
0 - 255	
0 is horizontal, 90 is vertical.	
0.1	
01: A Simple Litter System	
01: My first module	
02: Carbon Cycle Simulation for Terrestrial Biomes	
02: Pixel by pixel operations with two grids	
03: Direct neighbours	
03: Spatially Distributed Simulation of Soil Nitrogen Dynamics	
04: Direct neighbours - more...	
05: Direct neighbours - slope and aspect	
06: Extended neighbourhoods	
07: Extended neighbourhoods - catchment areas (trace flow)	
08: Extended neighbourhoods - catchment areas (parallel)	
09: Extended neighbourhoods - catchment areas (recursive)	
1	
1 / cell size (specific catchment area)	
1 arc-second	
1 bit	
1 byte integer	1 Byte Ganzzahl
1 byte signed integer	1 Byte Ganzzahl mit Vorzeichen
1 byte unsigned integer	1 Byte Ganzzahl ohne Vorzeichen
1.0	
1.5 * Standard Deviation	1,5 * Standardabweichung
10: Dynamic Simulation - Life	
11: Dynamic Simulation - Soil Nitrogen Dynamics	
12: First steps with shapes	
13: Reprojecting a shapes layer	
14: Vectorising channel lines	
16 bit signed integer	
16 bit unsigned integer	
1st Std. Parallel	
2	
2 byte integer	2 Byte Ganzzahl
2 byte integer|4 byte floating point|	
2 byte signed integer	2 Byte Ganzzahl mit Vorzeichen
2 byte unsigned integer	2 Byte Ganzzahl ohne Vorzeichen
2.0	
2.0 * Standard Deviation	2,0 * Standardabweichung
20 seconds	20 Sekunden
2nd Std. Parallel	
3	
3 X 3	
3 arc-second	
3 parameters (translation only)	
32 bit floating point	
32 bit signed integer	
32 bit unsigned integer	
3306	
3D Image	3D Bild
3D Image Height	3D Bild Höhe
3D Image Width	3D Bild Breite
3D View	3D Ansicht
4 (von Neumann)	
4 byte float	
4 byte floating point	4 Byte Fließkommazahl
4 byte floating point number	4 Byte Fließkommanummer
4 byte integer	4 Byte Ganzzahl
4 byte signed integer	4 Byte Ganzzahl mit Vorzeichen
4 byte unsigned integer	4 Byte Ganzzahl ohne Vorzeichen
5 X 5	
64 bit floating point	
7 X 7	
7 parameters	
8 (Moore)	
8 bit unsigned integer	
8 byte float	
8 byte floating point	8 Byte Fließkommazahl
8 byte floating point number	8 Byte Fließkommazahl
:-( :-( you are a loser :-( :-(	
:-) :-) you are a winner :-) :-) Time:%ds\n	
;	
<	
<=	
=	
>	
>=	
A	
A / tan(\xc3\x9f)	
A SAGA module to create transects through polygon files.	
A Simple Litter System	
A grid that contains elevation data.	
A set of basic SAGA module programming lectures.	
A3 Landscape	A3 Querformat
A3 Portrait	A3 Hochformat
A4 Landscape	A4 Querformat
A4 Portrait	A4 Hochformat
A:Geostatistics|Points	
A:Grid|Construction	A:Raster|Konstruktion
A:Shapes|Construction	A:Vektoren|Konstruktion
ADDR	
AFAC(	
AFAC()	
AOI Shape	AOI Vektor (Automatische Optische Inspektion)
AQ(	
AREA	FLÄCHE
AS(	
ASCII	
ASCII Decimal Separator	
ASCII Grid Options	
ASCII Precision	
AWM1 Grid	
AWM2 Grid	
AWT Grid	
AZIMUTH	
About SAGA	Über SAGA
Above Elevation	
Above this threshold snow will start to melt	
Absolute	Absolut
Absolute Area	
Absolute Height	
Absolute Water Level	
Absolute Water Levels	
Acc. Area	
Accumulated Cost	Akkumulierte Kosten
Accumulated Cost (Anisotropic)	Akkumulierte Kosten (Anisotropisch)
Accumulated Cost (Isotropic)	Akkumulierte Kosten (Isotropisch)
Accumulated Material from _left_ side	
Accumulated Material from _right_ side	
Accumulated cost	Akkumulierte Kosten
Accumulated cost surface	
Acknowledgements	Danksagungen
Activate Grid File Cache?	Dateipuffer für Raster aktivieren?
Activate file caching automatically, if memory size exceeds the threshold value.	Dateipuffer für Raster automatisch aktivieren, wenn Speicherbedarf Schwellenwert überschreitet.
Add Attribute to Clipped Points	Füge Attribute zu ausgeschnittenen Punkten hinzu
Add Border	Füge Grenze hinzu
Add Cells	
Add Coordinates to points	Füge Koordinaten zu Punkten hinzu
Add Field	Feld hinzufügen
Add Frame	Füge Rahmen hinzu
Add Grid Values to Points	Weise Rasterwerte Punkten zu
Add Link to Files	Erzeuge Verknüpfung zu Dateien
Add Polygon Attributes to Points	Füge Polygonattribute Punkten hinzu
Add Volumes Below Base Level	Füge Volumnia unter Ausgangsniveau hinzu
Add to current selection	Füge zu aktueller Auswahl hinzu
Addition	
Additional Cuts	zusätzliche Schnitte
Additional Grids	zusätzliche Raster
Additional Layers	Zusätzliche Ebenen
Additional Parameters	
Additional Values	zusätzliche Werte
Additional values that shall be saved to the output table.	
Addition|	
Adjust	Einstellen
Adjust to Grid	
Advanced Settings	fortgeschrittene Einstellungen
Aggregate	Anhäufung
Aggregation	Vereinigung
Aggregation Index	Zusammenführungsindex
Aggregation Size	Anhäufung Größe
Air Humidity (2pm) [%%]	
Air Pressure, Water and Dust Content	
Albers Equal Area Conic	
Alessandro Perego	
Algorithm for the detection of Surface Specific Points	
All	
All Files	Alle Dateien
All Files|*.*|	
All Recognised Files	Alle erkannten Dateitypen
All Recognized File Types	
All Recognized Files	
Allocation	Zuweisung
Allocation Grid	Zuweisungsraster
Allow longitudes outside -180 to 180 Range	
Allows to write cell values from additional grids to the output	
Alpha Max (Degree)	
Altitude above Channel Network	
Altura de llama	
Altura de llama (m)	
Anaglyph	
Analytical Hierarchy Process	Analytischer hierarchischer Prozess
Analytical Hillshading	
Analytical hillshading calculation.	
Anchor Point	Ankerpunkt
Angle	Winkel
Angle (in degrees)	
Angle [Degree]	
Angle in degrees, counting clockwise from north	Winkel in Grad, Zählung im Uhrzeigersinn von Nord
Angle. In radians	Winkel. In Radiant
Applies also to the binary format header file.	
Apply Move	
Apply offset?	Versatz zufügen?
